month,lgcode,n
202101,1,1585278
202101,2,374381
202101,3,439588
202101,4,899591
202101,5,308535
202101,6,351143
202101,7,821882
202101,8,1224689
202101,9,1338365
202101,10,1030539
202101,11,1381012
202101,12,2484169
202101,13,4842282
202101,14,1699616
202101,15,961282
202101,16,211544
202101,17,338745
202101,18,228140
202101,19,591326
202101,20,1772236
202101,21,1145631
202101,22,2466595
202101,23,1794310
202101,24,1027771
202101,25,775990
202101,26,1251941
202101,27,1967634
202101,28,2567446
202101,29,716018
202101,30,416410
202101,31,194172
202101,32,364869
202101,33,865185
202101,34,885662
202101,35,552075
202101,36,288077
202101,37,312761
202101,38,441905
202101,39,253703
202101,40,1414178
202101,41,434895
202101,42,255433
202101,43,813109
202101,44,643879
202101,45,403925
202101,46,557816
202101,47,472074
202101,1101,144271
202101,1102,6260
202101,1103,11596
202101,1104,4306
202101,1105,12831
202101,1106,78734
202101,1107,8881
202101,1108,5479
202101,1109,16693
202101,1110,1328
202101,1202,16995
202101,1203,51104
202101,1204,82577
202101,1205,6478
202101,1206,37393
202101,1207,23309
202101,1208,16919
202101,1209,2398
202101,1210,38981
202101,1211,22530
202101,1212,4097
202101,1213,30866
202101,1214,6439
202101,1215,5151
202101,1216,8187
202101,1217,6618
202101,1218,435
202101,1219,8077
202101,1220,373
202101,1221,19858
202101,1222,30329
202101,1223,2221
202101,1224,27619
202101,1225,5861
202101,1226,2112
202101,1227,6908
202101,1228,19908
202101,1229,33097
202101,1230,6448
202101,1231,7940
202101,1233,14648
202101,1234,20854
202101,1235,11535
202101,1236,2548
202101,1303,13406
202101,1304,16803
202101,1331,1213
202101,1332,157
202101,1333,1055
202101,1334,4766
202101,1337,13365
202101,1343,2921
202101,1345,13405
202101,1346,782
202101,1361,1188
202101,1362,1253
202101,1363,1683
202101,1364,1004
202101,1367,57
202101,1371,1959
202101,1391,1090
202101,1392,1119
202101,1393,6115
202101,1394,2768
202101,1395,19007
202101,1396,3447
202101,1397,53459
202101,1398,16566
202101,1399,4382
202101,1400,39855
202101,1402,1571
202101,1403,32
202101,1404,623
202101,1405,31
202101,1407,12361
202101,1408,5621
202101,1409,45080
202101,1423,1523
202101,1424,7422
202101,1427,340
202101,1428,18842
202101,1429,1614
202101,1430,677
202101,1431,466
202101,1432,1484
202101,1433,4418
202101,1434,6335
202101,1436,7183
202101,1437,8336
202101,1438,6238
202101,1452,158
202101,1453,6401
202101,1454,2227
202101,1455,18202
202101,1457,1175
202101,1458,3315
202101,1459,5314
202101,1460,922
202101,1461,371
202101,1462,4159
202101,1463,615
202101,1464,2747
202101,1469,5928
202101,1470,4034
202101,1471,5953
202101,1472,6335
202101,1481,156
202101,1482,4448
202101,1483,3113
202101,1484,6948
202101,1485,2089
202101,1486,5150
202101,1487,3231
202101,1512,2724
202101,1513,997
202101,1514,750
202101,1516,1717
202101,1517,95
202101,1520,100
202101,1543,5732
202101,1544,6607
202101,1545,5308
202101,1546,3866
202101,1547,2297
202101,1550,7519
202101,1552,4197
202101,1555,18793
202101,1559,11281
202101,1561,2498
202101,1562,2166
202101,1563,3909
202101,1564,11405
202101,1571,6227
202101,1575,6059
202101,1578,19353
202101,1581,1987
202101,1584,8739
202101,1585,2950
202101,1586,6113
202101,1601,6074
202101,1602,1626
202101,1604,3961
202101,1607,767
202101,1608,1491
202101,1609,62
202101,1610,9549
202101,1631,17602
202101,1632,14070
202101,1633,12041
202101,1634,7320
202101,1635,15898
202101,1636,1872
202101,1637,7999
202101,1638,10048
202101,1639,2737
202101,1641,15686
202101,1642,93
202101,1643,6710
202101,1644,2079
202101,1645,63
202101,1646,3534
202101,1647,3288
202101,1648,4043
202101,1649,7401
202101,1661,9014
202101,1662,9794
202101,1663,123
202101,1664,403
202101,1665,11895
202101,1667,1969
202101,1668,8506
202101,1691,2226
202101,1692,1625
202101,1693,559
202101,1694,275
202101,2201,59590
202101,2202,40267
202101,2203,43565
202101,2204,3099
202101,2205,4243
202101,2206,27386
202101,2207,3956
202101,2208,8534
202101,2209,68414
202101,2210,17133
202101,2301,1535
202101,2303,900
202101,2304,2050
202101,2307,850
202101,2321,876
202101,2323,4128
202101,2343,4571
202101,2361,919
202101,2362,6894
202101,2367,2854
202101,2384,5778
202101,2387,335
202101,2401,10394
202101,2402,25313
202101,2405,238
202101,2406,6918
202101,2408,5143
202101,2411,9302
202101,2412,2510
202101,2423,147
202101,2425,134
202101,2426,1929
202101,2441,6690
202101,2442,293
202101,2443,1366
202101,2445,1514
202101,2446,4747
202101,2450,825
202101,3201,56131
202101,3202,21967
202101,3203,14985
202101,3205,23276
202101,3206,34901
202101,3207,13175
202101,3208,9036
202101,3209,25261
202101,3210,9540
202101,3211,3140
202101,3213,1113
202101,3214,95182
202101,3215,21888
202101,3216,3699
202101,3301,55749
202101,3302,987
202101,3303,10586
202101,3321,1227
202101,3322,1684
202101,3366,2912
202101,3381,626
202101,3402,19196
202101,3441,1958
202101,3461,2355
202101,3482,2551
202101,3483,2727
202101,3484,131
202101,3485,586
202101,3501,160
202101,3503,1076
202101,3506,1732
202101,3507,729
202101,3524,8766
202101,4101,110535
202101,4102,47613
202101,4103,8132
202101,4104,104324
202101,4105,53455
202101,4202,83427
202101,4203,14182
202101,4205,9178
202101,4206,30917
202101,4207,9900
202101,4208,22748
202101,4209,3912
202101,4211,33776
202101,4212,107588
202101,4213,7971
202101,4214,11167
202101,4215,76373
202101,4216,1934
202101,4301,14394
202101,4302,13365
202101,4321,6358
202101,4322,9121
202101,4323,10487
202101,4324,35026
202101,4341,679
202101,4361,1818
202101,4362,22896
202101,4401,14700
202101,4404,799
202101,4406,10008
202101,4421,1114
202101,4422,11272
202101,4424,7635
202101,4444,8766
202101,4445,11957
202101,4501,2747
